# Switches:
# -mode              = SPARSE
# -sample            = UNIFORM
# -maxTran           = 22
# -e                 = 0
# -d                 = 0.5
# -maxTree           = 50000
# -f                 = 2
# -l1                = 0.0001
# -pruneTree         = 1
# -optTran           = 0
#
# Maze size: 4x4
#
# Reward 0
#     ACTIVATION_STATE :  0
#     RECEIVE_STATE    :  8
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 1
#     ACTIVATION_STATE :  8
#     RECEIVE_STATE    : 13
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 2
#     ACTIVATION_STATE :  9
#     RECEIVE_STATE    : 12
#     TIME_DELAY       : 3
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 3
#     ACTIVATION_STATE : 12
#     RECEIVE_STATE    : 14
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 4
#     ACTIVATION_STATE : 13
#     RECEIVE_STATE    : 15
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 5
#     ACTIVATION_STATE : 11
#     RECEIVE_STATE    :  6
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 6
#     ACTIVATION_STATE : 10
#     RECEIVE_STATE    :  5
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 7
#     ACTIVATION_STATE :  5
#     RECEIVE_STATE    :  2
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 8
#     ACTIVATION_STATE :  1
#     RECEIVE_STATE    :  3
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 9
#     ACTIVATION_STATE :  2
#     RECEIVE_STATE    :  0
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
#
# Wall 0: (5|9)
# Wall 1: (12|13)
# Wall 2: (11|15)
# Wall 3: (5|1)
# Wall 4: (5|4)
# Wall 5: (2|6)
# Wall 6: (3|7)
# Wall 7: (9|10)
# Wall 8: (10|14)
#
# Door ((0,3)/(1,3))
#     key : (1,3) : DOWN_BUTTON
#     dt : -2
# Door ((3,3)/(3,2))
#     key : (3,3) : RIGHT_BUTTON
#     dt : -2
# Door ((1,1)/(1,0))
#     key : (1,1) : DOWN_BUTTON
#     dt : -2
#
#
# Episode	training_length	transition_length	search_tree_size	feature_n	utree_size	episode_mean_reward

# -f                 = 2
# -l1                = 0.0001

24 	2000	22	50000	321	0	0.227273	data likelihood: 0.993869
29 	500	22	50000	262	0	0.0454545	data likelihood: 0.989838

# -l1                = 0.001
# -fincr             = 50
# -dl                = 0.0001

5 	500	22	50000	177	0	0.227273	data likelihood: 0.987316
6 	1000	22	50000	219	0	0.227273	data likelihood: 0.985663
2 	1000	22	50000	211	0	0.0909091	data likelihood: 0.986848
1 	500	22	50000	171	0	0	data likelihood: 0.989562
7 	1500	22	50000	183	0	0.272727	data likelihood: 0.993196
9 	500	22	50000	201	0	0.0454545	data likelihood: 0.98817
10 	1000	22	50000	142	0	0	data likelihood: 0.99222
3 	1500	22	50000	184	0	0.409091	data likelihood: 0.98705
13 	500	22	50000	190	0	0.0454545	data likelihood: 0.989452
11 	1500	22	50000	179	0	0.318182	data likelihood: 0.99038
4 	2000	22	50000	182	0	0.0454545	data likelihood: 0.972075
14 	1000	22	50000	186	0	0.227273	data likelihood: 0.968042
8 	2000	22	50000	219	0	0.409091	data likelihood: 0.980293
17 	500	22	50000	207	0	0.272727	data likelihood: 0.982591
15 	1500	22	50000	193	0	0.318182	data likelihood: 0.971604
18 	1000	22	50000	147	0	0.227273	data likelihood: 0.972936
21 	500	22	50000	163	0	0	data likelihood: 0.990096
16 	2000	22	50000	172	0	0.363636	data likelihood: 0.97717
12 	2000	22	50000	177	0	0.363636	data likelihood: 0.979771
25 	500	22	50000	157	0	0.0909091	data likelihood: 0.991021
26 	1000	22	50000	124	0	0.136364	data likelihood: 0.987726
19 	1500	22	50000	189	0	0.318182	data likelihood: 0.990252
22 	1000	22	50000	185	0	0	data likelihood: 0.989045
29 	500	22	50000	91	0	0.318182	data likelihood: 0.991438
20 	2000	22	50000	195	0	0.409091	data likelihood: 0.993403
27 	1500	22	50000	167	0	0.363636	data likelihood: 0.990468
23 	1500	22	50000	181	0	0.409091	data likelihood: 0.987799
24 	2000	22	50000	175	0	0.409091	data likelihood: 0.990772
33 	500	22	50000	157	0	0	data likelihood: 0.991082
30 	1000	22	50000	193	0	0.0909091	data likelihood: 0.977547
34 	1000	22	50000	157	0	0.227273	data likelihood: 0.99573
31 	1500	22	50000	184	0	0.272727	data likelihood: 0.982324
37 	500	22	50000	196	0	0.0909091	data likelihood: 0.991213
35 	1500	22	50000	175	0	0.318182	data likelihood: 0.975328
28 	2000	22	50000	202	0	0.272727	data likelihood: 0.99458
32 	2000	22	50000	187	0	0.272727	data likelihood: 0.98793
38 	1000	22	50000	195	0	0.318182	data likelihood: 0.988621
40 	2000	22	50000	192	0	0.227273	data likelihood: 0.994716
39 	1500	22	50000	207	0	0.272727	data likelihood: 0.987556
36 	2000	22	50000	193	0	0.227273	data likelihood: 0.981174
#
1 	500	22	50000	149	0	0	data likelihood: 0.991139
5 	500	22	50000	210	0	0.227273	data likelihood: 0.991574
2 	1000	22	50000	157	0	0.272727	data likelihood: 0.995239
6 	1000	22	50000	188	0	0.272727	data likelihood: 0.978632
9 	500	22	50000	214	0	0.181818	data likelihood: 0.987882
10 	1000	22	50000	172	0	0.0909091	data likelihood: 0.988527
3 	1500	22	50000	202	0	0.0909091	data likelihood: 0.981954
13 	500	22	50000	69	0	0.227273	data likelihood: 0.992226
11 	1500	22	50000	170	0	0.0909091	data likelihood: 0.967587
7 	1500	22	50000	224	0	0.181818	data likelihood: 0.98262
4 	2000	22	50000	185	0	0.181818	data likelihood: 0.987896
14 	1000	22	50000	181	0	0.363636	data likelihood: 0.977758
8 	2000	22	50000	208	0	0.227273	data likelihood: 0.979508
15 	1500	22	50000	178	0	0.318182	data likelihood: 0.987511
17 	500	22	50000	181	0	0.0454545	data likelihood: 0.984997
19 	1500	22	50000	170	0	0.272727	data likelihood: 0.992228
18 	1000	22	50000	200	0	0.227273	data likelihood: 0.97922
16 	2000	22	50000	179	0	0.409091	data likelihood: 0.979121
21 	500	22	50000	180	0	0.0454545	data likelihood: 0.983492
12 	2000	22	50000	171	0	0.409091	data likelihood: 0.969802
22 	1000	22	50000	178	0	0.0909091	data likelihood: 0.990157
25 	500	22	50000	186	0	0.272727	data likelihood: 0.986005
29 	500	22	50000	188	0	0.181818	data likelihood: 0.991089
23 	1500	22	50000	196	0	0.272727	data likelihood: 0.986726
26 	1000	22	50000	173	0	0.181818	data likelihood: 0.982419
27 	1500	22	50000	177	0	0.409091	data likelihood: 0.974348
20 	2000	22	50000	179	0	0.227273	data likelihood: 0.98182
24 	2000	22	50000	195	0	0.227273	data likelihood: 0.984153
28 	2000	22	50000	166	0	0.227273	data likelihood: 0.990517
30 	1000	22	50000	203	0	0.181818	data likelihood: 0.983608
34 	1000	22	50000	130	0	0.363636	data likelihood: 0.986637
37 	500	22	50000	159	0	0.0909091	data likelihood: 0.991004
31 	1500	22	50000	181	0	0.181818	data likelihood: 0.976326
33 	500	22	50000	161	0	0	data likelihood: 0.991225
35 	1500	22	50000	160	0	0.272727	data likelihood: 0.971517
38 	1000	22	50000	191	0	0.227273	data likelihood: 0.982714
41 	500	22	50000	166	0	0	data likelihood: 0.991112
36 	2000	22	50000	183	0	0.409091	data likelihood: 0.984487
32 	2000	22	50000	209	0	0.363636	data likelihood: 0.995086
45 	500	22	50000	182	0	0.363636	data likelihood: 0.988802
39 	1500	22	50000	183	0	0.227273	data likelihood: 0.981708
42 	1000	22	50000	186	0	0	data likelihood: 0.982502
40 	2000	22	50000	180	0	0.409091	data likelihood: 0.979723
49 	500	22	50000	195	0	0.136364	data likelihood: 0.988657
43 	1500	22	50000	170	0	0.272727	data likelihood: 0.968174
44 	2000	22	50000	145	0	0.363636	data likelihood: 0.985209
50 	1000	22	50000	181	0	0.227273	data likelihood: 0.993584
47 	1500	22	50000	205	0	0.272727	data likelihood: 0.990786
51 	1500	22	50000	186	0	0.272727	data likelihood: 0.992426
46 	1000	22	50000	195	0	0.136364	data likelihood: 0.994107
54 	1000	22	50000	153	0	0.227273	data likelihood: 0.993326
53 	500	22	50000	187	0	0.0909091	data likelihood: 0.990632
57 	500	22	50000	168	0	0	data likelihood: 0.985638
52 	2000	22	50000	141	0	0.272727	data likelihood: 0.962247
55 	1500	22	50000	155	0	0.454545	data likelihood: 0.975635
48 	2000	22	50000	200	0	0.318182	data likelihood: 0.977474
58 	1000	22	50000	199	0	0.181818	data likelihood: 0.981792
56 	2000	22	50000	165	0	0.136364	data likelihood: 0.99303
61 	500	22	50000	128	0	0	data likelihood: 0.990707
59 	1500	22	50000	213	0	0.227273	data likelihood: 0.987766
65 	500	22	50000	167	0	0.227273	data likelihood: 0.990433
62 	1000	22	50000	195	0	0.272727	data likelihood: 0.989136
63 	1500	22	50000	117	0	0	data likelihood: 0.983052
66 	1000	22	50000	182	0	0.227273	data likelihood: 0.98777
69 	500	22	50000	175	0	0.181818	data likelihood: 0.98244
64 	2000	22	50000	201	0	0.409091	data likelihood: 0.993812
60 	2000	22	50000	179	0	0.272727	data likelihood: 0.990521
70 	1000	22	50000	175	0	0.136364	data likelihood: 0.984746
67 	1500	22	50000	196	0	0.363636	data likelihood: 0.982879
73 	500	22	50000	193	0	0.181818	data likelihood: 0.989672
71 	1500	22	50000	174	0	0.409091	data likelihood: 0.984291
77 	500	22	50000	177	0	0.272727	data likelihood: 0.992366
68 	2000	22	50000	206	0	0.272727	data likelihood: 0.98774
74 	1000	22	50000	181	0	0.136364	data likelihood: 0.983038
78 	1000	22	50000	169	0	0.227273	data likelihood: 0.989691
72 	2000	22	50000	188	0	0.0454545	data likelihood: 0.988153
75 	1500	22	50000	191	0	0.318182	data likelihood: 0.984086
79 	1500	22	50000	188	0	0.409091	data likelihood: 0.993152
76 	2000	22	50000	194	0	0.181818	data likelihood: 0.989456
80 	2000	22	50000	173	0	0.136364	data likelihood: 0.986493

# -l1                = 0.0003

4 	5000	22	50000	214	0	0.454545	data likelihood: 0.990392
21 	5000	22	50000	218	0	0.454545	data likelihood: 0.991143
11 	5000	22	50000	252	0	0.409091	data likelihood: 0.990083
10 	5000	22	50000	252	0	0.454545	data likelihood: 0.994079
2 	5000	22	50000	236	0	0.318182	data likelihood: 0.993114
23 	5000	22	50000	230	0	0.409091	data likelihood: 0.994356
19 	5000	22	50000	234	0	0.227273	data likelihood: 0.989926
3 	5000	22	50000	251	0	0.363636	data likelihood: 0.988466
1 	5000	22	50000	248	0	0.409091	data likelihood: 0.994472
7 	5000	22	50000	273	0	0.409091	data likelihood: 0.994368
5 	5000	22	50000	256	0	0.272727	data likelihood: 0.99139
#
7 	2000	22	50000	240	0	0.409091	data likelihood: 0.994605
6 	2000	22	50000	195	0	0.227273	data likelihood: 0.996723
8 	2000	22	50000	237	0	0.409091	data likelihood: 0.994415
4 	2000	22	50000	244	0	0.363636	data likelihood: 0.994469
2 	2000	22	50000	213	0	0.272727	data likelihood: 0.995372
5 	2000	22	50000	260	0	0.363636	data likelihood: 0.994213
3 	2000	22	50000	271	0	0.409091	data likelihood: 0.992211
10 	2000	22	50000	229	0	0.363636	data likelihood: 0.994917
12 	2000	22	50000	232	0	0.454545	data likelihood: 0.993624
1 	2000	22	50000	299	0	0.318182	data likelihood: 0.993208
9 	2000	22	50000	287	0	0.409091	data likelihood: 0.994517
13 	2000	22	50000	240	0	0.409091	data likelihood: 0.99461
11 	2000	22	50000	262	0	0.0909091	data likelihood: 0.995024
15 	2000	22	50000	216	0	0.318182	data likelihood: 0.992599
14 	2000	22	50000	285	0	0.409091	data likelihood: 0.994664
17 	2000	22	50000	247	0	0.409091	data likelihood: 0.994507
18 	2000	22	50000	234	0	0.181818	data likelihood: 0.995167
19 	2000	22	50000	259	0	0.409091	data likelihood: 0.995046
16 	2000	22	50000	243	0	0	data likelihood: 0.992443
21 	2000	22	50000	219	0	0.227273	data likelihood: 0.993871
20 	2000	22	50000	282	0	0.409091	data likelihood: 0.994822
23 	2000	22	50000	266	0	0.181818	data likelihood: 0.993543
26 	2000	22	50000	248	0	0.318182	data likelihood: 0.991865
24 	2000	22	50000	275	0	0.409091	data likelihood: 0.994341
22 	2000	22	50000	322	0	0.409091	data likelihood: 0.996761
28 	2000	22	50000	254	0	0.363636	data likelihood: 0.990663
25 	2000	22	50000	268	0	0.181818	data likelihood: 0.994735
30 	2000	22	50000	200	0	0.318182	data likelihood: 0.996557
29 	2000	22	50000	234	0	0.272727	data likelihood: 0.993035
27 	2000	22	50000	280	0	0.0909091	data likelihood: 0.994292
31 	2000	22	50000	288	0	0.363636	data likelihood: 0.995168
32 	2000	22	50000	272	0	0.363636	data likelihood: 0.994312
33 	2000	22	50000	256	0	0.272727	data likelihood: 0.996376
34 	2000	22	50000	245	0	0.272727	data likelihood: 0.993606
36 	2000	22	50000	239	0	0.181818	data likelihood: 0.9928
35 	2000	22	50000	291	0	0.409091	data likelihood: 0.995113
39 	2000	22	50000	236	0	0.409091	data likelihood: 0.992933
38 	2000	22	50000	285	0	0.227273	data likelihood: 0.991806
37 	2000	22	50000	232	0	0.0454545	data likelihood: 0.993229
42 	2000	22	50000	236	0	0.409091	data likelihood: 0.994631
40 	2000	22	50000	231	0	0.0909091	data likelihood: 0.99471
44 	2000	22	50000	258	0	0.0454545	data likelihood: 0.994382
41 	2000	22	50000	308	0	0.409091	data likelihood: 0.995748
43 	2000	22	50000	269	0	0.454545	data likelihood: 0.994397
45 	2000	22	50000	269	0	0.181818	data likelihood: 0.996817
46 	2000	22	50000	271	0	0.318182	data likelihood: 0.995706
49 	2000	22	50000	229	0	0.409091	data likelihood: 0.996676
48 	2000	22	50000	259	0	0.0454545	data likelihood: 0.991424
51 	2000	22	50000	269	0	0.0909091	data likelihood: 0.996294
47 	2000	22	50000	260	0	0	data likelihood: 0.993421
52 	2000	22	50000	268	0	0.409091	data likelihood: 0.994885
54 	2000	22	50000	211	0	0.454545	data likelihood: 0.993685
53 	2000	22	50000	205	0	0.318182	data likelihood: 0.996634
50 	2000	22	50000	314	0	0.272727	data likelihood: 0.995062
55 	2000	22	50000	241	0	0.363636	data likelihood: 0.995648
56 	2000	22	50000	266	0	0.409091	data likelihood: 0.995746
59 	2000	22	50000	251	0	0.454545	data likelihood: 0.994112
57 	2000	22	50000	268	0	0.272727	data likelihood: 0.995802
58 	2000	22	50000	250	0	0.409091	data likelihood: 0.996221
61 	2000	22	50000	263	0	0.409091	data likelihood: 0.993498
62 	2000	22	50000	206	0	0.227273	data likelihood: 0.994961
63 	2000	22	50000	246	0	0.363636	data likelihood: 0.993212
60 	2000	22	50000	281	0	0.227273	data likelihood: 0.995443
64 	2000	22	50000	244	0	0.409091	data likelihood: 0.994773
65 	2000	22	50000	255	0	0.409091	data likelihood: 0.993342
# Switches:
# -mode              = SPARSE
# -sample            = UNIFORM
# -nEp               = 1000
# -minTran           = 10
# -maxTran           = 22
# -e                 = 0
# -d                 = 0.5
# -minTrain          = 200
# -maxTrain          = 2000
# -minTree           = 1000
# -maxTree           = 50000
# -f                 = 2
# -l1                = 0.0005
# -pruneTree         = 1
# -kWidth            = 0
# -incr              = 200
# -exp               = 0
# -printSamples      = 0
# -optTran           = 0
# -fincr             = 50
# -dl                = 0.0001
# -tderr             = 0.0001
# 
# Maze size: 4x4
# 
# Reward 0
#     ACTIVATION_STATE :  0
#     RECEIVE_STATE    :  8
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 1
#     ACTIVATION_STATE :  8
#     RECEIVE_STATE    : 13
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 2
#     ACTIVATION_STATE :  9
#     RECEIVE_STATE    : 12
#     TIME_DELAY       : 3
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 3
#     ACTIVATION_STATE : 12
#     RECEIVE_STATE    : 14
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 4
#     ACTIVATION_STATE : 13
#     RECEIVE_STATE    : 15
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 5
#     ACTIVATION_STATE : 11
#     RECEIVE_STATE    :  6
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 6
#     ACTIVATION_STATE : 10
#     RECEIVE_STATE    :  5
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 7
#     ACTIVATION_STATE :  5
#     RECEIVE_STATE    :  2
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 8
#     ACTIVATION_STATE :  1
#     RECEIVE_STATE    :  3
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 9
#     ACTIVATION_STATE :  2
#     RECEIVE_STATE    :  0
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# 
# Wall 0: (5|9)
# Wall 1: (12|13)
# Wall 2: (11|15)
# Wall 3: (5|1)
# Wall 4: (5|4)
# Wall 5: (2|6)
# Wall 6: (3|7)
# Wall 7: (9|10)
# Wall 8: (10|14)
# 
# Door ((0,3)/(1,3))
#     key : (1,3) : DOWN_BUTTON
#     dt : -2
# Door ((3,3)/(3,2))
#     key : (3,3) : RIGHT_BUTTON
#     dt : -2
# Door ((1,1)/(1,0))
#     key : (1,1) : DOWN_BUTTON
#     dt : -2
# 
# 
# Episode	training_length	transition_length	search_tree_size	feature_n	utree_size	episode_mean_reward
# 
